,image_time,DNflag,unet_prob,simple_numhot,unet_class,simple_radiance,hyst_numhot,hyst_radiance,background_bt,hotspot_mean_bt,hotspot_max_bt,bt_hotspot_minus_bg,hotspot_TIR_mean_bt,hotspot_TIR_max_bt,MIR_minus_TIR_bt,improved_radiance,hotspot_area_bg_corrected,solar_za,solar_aa,mirova_numhot,mirova_class,mirova_radiance,max_nti,max_eti,max_dnti,max_deti,max_dnti_z,max_deti_z
16375,2012-03-07 23:06:00,D,0.010033217,0.0,False,,0.0,,,,,,,,,,,58.317761138640236,31.68223886135976,0.0,False,0.0,-0.83547586,0.07990903,0.046361655,0.033772804,3.2013862,2.8969228
13609,2012-03-08 00:48:00,D,0.005834492,0.0,False,,0.0,,,,,,,,,,,60.830010583303064,29.169989416696936,0.0,False,0.0,-0.83562183,0.06769085,0.036844775,0.037258342,3.682987,4.5077834
2785,2012-03-08 13:00:00,N,0.0023223313,0.0,False,,0.0,,,,,,,,,,,127.34940049497567,-37.34940049497567,0.0,False,0.0,-0.9717108,0.0036344528,0.0024416894,0.0023376197,2.671024,2.657555
10469,2012-03-08 14:36:00,N,0.005632985,0.0,False,,0.0,,,,,,,,,,,117.41507134720513,-27.415071347205124,0.0,False,0.0,-0.975387,0.0041052103,0.003726706,0.003436178,3.0304167,3.1329305
11640,2012-03-08 22:48:00,D,0.0012131489,0.0,False,,0.0,,,,,,,,,,,58.28876357051895,31.71123642948105,0.0,False,0.0,-0.8710488,0.053731024,0.02702856,0.026051998,4.185795,4.22701
1935,2012-03-09 00:30:00,D,0.005450619,0.0,False,,0.0,,,,,,,,,,,59.46988769312175,30.530112306878255,0.0,False,0.0,-0.9011699,0.05292183,0.01915612,0.019787349,4.4624043,4.2051616
13173,2012-03-09 12:42:00,N,0.18301706,0.0,False,,0.0,,,,,,,,,,,128.22659485989124,-38.226594859891236,0.0,False,0.0,-0.9656895,0.0027528405,0.007215515,0.002689667,4.275605,3.0235677
17216,2012-03-09 14:18:00,N,0.31282246,0.0,False,,0.0,,,,,,,,,,,119.23138940224077,-29.231389402240765,0.0,False,0.0,-0.96961975,0.0036553144,0.004037179,0.003283389,3.832151,3.2432938
2738,2012-03-09 22:30:00,D,0.0012181383,0.0,False,,0.0,,,,,,,,,,,58.497473660987026,31.50252633901297,0.0,False,0.0,-0.8238877,0.059086144,0.04234104,0.039350316,3.4719024,4.4287424
11952,2012-03-10 00:12:00,D,0.005074461,0.0,False,,0.0,,,,,,,,,,,58.32015511994433,31.679844880055672,0.0,False,0.0,-0.868711,0.06555414,0.038886823,0.038490094,4.96852,4.854133
19407,2012-03-10 12:18:00,N,0.14788018,0.0,False,,0.0,,,,,,,,,,,129.15521030397323,-39.15521030397324,0.0,False,0.0,-0.9696012,0.003790021,0.0043845773,0.0039636716,3.2058096,3.4110832
5904,2012-03-10 14:00:00,N,0.072355784,0.0,False,,0.0,,,,,,,,,,,120.90761686230486,-30.90761686230486,0.0,False,0.0,-0.9750489,0.0028617978,0.0026527941,0.0024398938,2.923443,2.8458512
12725,2012-03-10 22:12:00,D,0.046349484,0.0,False,,0.0,,,,,,,,,,,58.93897025874749,31.061029741252515,0.0,False,0.0,-0.8009793,0.05349636,0.05503413,0.051762745,4.6442995,6.8568835
16613,2012-03-10 23:48:00,D,0.0030068231,0.0,False,,0.0,,,,,,,,,,,57.26424544030079,32.73575455969921,0.0,False,0.0,-0.89568776,0.042788804,0.019659854,0.018401347,3.8454976,3.6734934
535,2012-03-11 12:00:00,N,0.04111046,0.0,False,,0.0,,,,,,,,,,,129.45664021242425,-39.45664021242425,0.0,False,0.0,-0.97146356,0.0039380193,0.004740566,0.0028789565,3.10475,2.7740097
18157,2012-03-11 13:42:00,N,0.024333619,0.0,False,,0.0,,,,,,,,,,,122.42529514116545,-32.42529514116545,0.0,False,0.0,-0.9680087,0.0040225983,0.0038666353,0.0031527951,3.1259918,4.1515
