,image_time,DNflag,unet_prob,simple_numhot,unet_class,simple_radiance,hyst_numhot,hyst_radiance,background_bt,hotspot_mean_bt,hotspot_max_bt,bt_hotspot_minus_bg,hotspot_TIR_mean_bt,hotspot_TIR_max_bt,MIR_minus_TIR_bt,improved_radiance,hotspot_area_bg_corrected,solar_za,solar_aa
19199,2012-03-01 01:18:00,D,0.0055167987,0.0,0.0,,0.0,,,,,,,,,,,64.34789268512895,25.65210731487104
763,2012-03-01 13:30:00,N,0.026555223,0.0,0.0,,0.0,,,,,,,,,,,128.5318394289937,-38.53183942899369
17518,2012-03-02 01:00:00,D,0.0006742955,0.0,0.0,,0.0,,,,,,,,,,,62.76543689217998,27.234563107820026
3612,2012-03-02 13:12:00,N,0.2778735,0.0,0.0,,0.0,,,,,,,,,,,129.7555566112607,-39.75555661126068
10606,2012-03-02 14:54:00,N,0.008625018,0.0,0.0,,0.0,,,,,,,,,,,118.480264961478,-28.480264961478
19612,2012-03-02 23:00:00,D,0.0023056064,0.0,0.0,,0.0,,,,,,,,,,,59.94224308555232,30.057756914447683
7797,2012-03-03 00:42:00,D,0.001374413,0.0,0.0,,0.0,,,,,,,,,,,61.37692773580808,28.62307226419192
4114,2012-03-03 12:54:00,N,0.11363778,0.0,0.0,,0.0,,,,,,,,,,,130.75139819224853,-40.751398192248544
16283,2012-03-03 14:30:00,N,3.635641e-05,0.0,0.0,,0.0,,,,,,,,,,,121.19318365640851,-31.193183656408507
8286,2012-03-03 22:42:00,D,0.013171512,0.0,0.0,,0.0,,,,,,,,,,,60.108616248450076,29.891383751549927
20638,2012-03-04 00:24:00,D,0.0061575803,0.0,0.0,,0.0,,,,,,,,,,,60.19596753774536,29.804032462254636
1154,2012-03-04 12:36:00,N,0.050330266,0.0,0.0,,0.0,,,,,,,,,,,131.50080313288777,-41.500803132887754
9772,2012-03-04 14:12:00,N,0.00018329828,0.0,0.0,,0.0,,,,,,,,,,,122.98346844542264,-32.983468445422645
17204,2012-03-04 22:24:00,D,0.000115192706,0.0,0.0,,0.0,,,,,,,,,,,60.50777933373479,29.49222066626521
16462,2012-03-05 00:00:00,D,2.93678e-05,0.0,0.0,,0.0,,,,,,,,,,,59.09167279802146,30.90832720197854
5363,2012-03-05 12:12:00,N,8.4338535e-05,0.0,0.0,,0.0,,,,,,,,,,,132.22099193935225,-42.22099193935224
5489,2012-03-05 13:54:00,N,1.9181167e-05,0.0,0.0,,0.0,,,,,,,,,,,124.61755705340235,-34.617557053402344
1481,2012-03-05 23:42:00,D,0.00012959781,0.0,0.0,,0.0,,,,,,,,,,,58.44092652484849,31.559073475151507
1821,2012-03-06 01:24:00,D,0.0011849734,0.0,0.0,,0.0,,,,,,,,,,,63.06543929109444,26.934560708905558
911,2012-03-06 11:54:00,N,0.00016617091,0.0,0.0,,0.0,,,,,,,,,,,132.3424531933626,-42.34245319336258
20030,2012-03-06 13:36:00,N,0.0111053875,0.0,0.0,,0.0,,,,,,,,,,,126.07511942228307,-36.075119422283066
4056,2012-03-06 23:24:00,D,0.11222962,0.0,0.0,,0.0,,,,,,,,,,,58.02960228774657,31.97039771225343
21347,2012-03-07 01:06:00,D,0.01213642,0.0,0.0,,0.0,,,,,,,,,,,61.37735974527308,28.622640254726917
15441,2012-03-07 13:18:00,N,0.003390007,0.0,0.0,,0.0,,,,,,,,,,,127.33591428645948,-37.33591428645948
576,2012-03-07 15:00:00,N,0.0028021995,0.0,0.0,,0.0,,,,,,,,,,,115.89855249295614,-25.898552492956146
16553,2012-03-07 23:06:00,D,0.014063688,0.0,0.0,,0.0,,,,,,,,,,,57.861381558678325,32.138618441321675
15568,2012-03-08 00:48:00,D,0.18787944,0.0,0.0,,0.0,,,,,,,,,,,59.879644401809145,30.12035559819085
4492,2012-03-08 13:00:00,N,0.0004308252,0.0,0.0,,0.0,,,,,,,,,,,128.38049609736456,-38.38049609736455
12287,2012-03-08 14:36:00,N,0.00012161466,0.0,0.0,,0.0,,,,,,,,,,,118.62199309430306,-28.621993094303058
11073,2012-03-08 22:48:00,D,0.0007955349,0.0,0.0,,0.0,,,,,,,,,,,57.93658535653475,32.06341464346525
1302,2012-03-09 00:30:00,D,0.0043836418,0.0,0.0,,0.0,,,,,,,,,,,58.58720527120807,31.41279472879193
16037,2012-03-09 12:42:00,N,0.00018793004,0.0,0.0,,0.0,,,,,,,,,,,129.1910278159808,-39.19102781598079
16986,2012-03-09 14:18:00,N,0.0006818883,0.0,0.0,,0.0,,,,,,,,,,,120.42472590307955,-30.424725903079544
4540,2012-03-09 22:30:00,D,0.010771589,0.0,0.0,,0.0,,,,,,,,,,,58.25209911505432,31.74790088494568
12047,2012-03-10 00:12:00,D,0.9172909,3.0,1.0,2548377.143440444,5.0,3088434.0379341263,279.1276550292969,299.1802673339844,311.5379943847656,20.0526123046875,258.899169921875,259.83099365234375,40.281097412109375,3349078.0559174162,0.37087975769937037,57.513806892194715,32.486193107805285
19893,2012-03-10 12:18:00,N,0.003612851,0.0,0.0,,0.0,,,,,,,,,,,130.01435930910162,-40.014359309101636
7904,2012-03-10 14:00:00,N,9.78569e-06,0.0,0.0,,0.0,,,,,,,,,,,122.07872451248983,-32.078724512489835
16289,2012-03-10 23:48:00,D,0.0012889887,0.0,0.0,,0.0,,,,,,,,,,,56.57308835290345,33.42691164709655
